Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.01,0.31,0.4176448667594599
75% Corpus,8,0.01,0.61,0.4381133299521647
75% Corpus,8,0.01,0.9099999999999999,0.44399346444859616
75% Corpus,8,0.01,symmetric,0.4311975295827561
75% Corpus,8,0.31,0.01,0.4381817459528665
75% Corpus,8,0.31,0.31,0.437149559416206
75% Corpus,8,0.31,0.61,0.43811847271453885
75% Corpus,8,0.31,0.9099999999999999,0.4314941673051591
75% Corpus,8,0.31,symmetric,0.4428276277102581
75% Corpus,8,0.61,0.01,0.4284015887212408
75% Corpus,8,0.61,0.31,0.4333882298234619
75% Corpus,8,0.61,0.61,0.4342473561399535
75% Corpus,8,0.61,0.9099999999999999,0.46674934248189454
75% Corpus,8,0.61,symmetric,0.46258275318668096
75% Corpus,8,0.9099999999999999,0.01,0.4545097423475234
75% Corpus,8,0.9099999999999999,0.31,0.47160517666379453
75% Corpus,8,0.9099999999999999,0.61,0.46979907848367
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4897297668401179
75% Corpus,8,0.9099999999999999,symmetric,0.4624952617708505
75% Corpus,8,symmetric,0.01,0.42564823540507013
75% Corpus,8,symmetric,0.31,0.450035260293172
75% Corpus,8,symmetric,0.61,0.4295849836246397
75% Corpus,8,symmetric,0.9099999999999999,0.4170913836921446
75% Corpus,8,symmetric,symmetric,0.4384359421633662
75% Corpus,8,asymmetric,0.01,0.4358395602377824
75% Corpus,8,asymmetric,0.31,0.425079637374757
75% Corpus,8,asymmetric,0.61,0.43111333999805657
75% Corpus,8,asymmetric,0.9099999999999999,0.4071147153786959
75% Corpus,8,asymmetric,symmetric,0.42558046318684173
75% Corpus,9,0.01,0.01,0.44344244639644864
75% Corpus,9,0.01,0.31,0.43244871681588504
